
2023/10/01 (16:55:40) | ===> btop++ v.1.2.13
2023/10/01 (16:55:40) | INFO: Logger set to INFO
2023/10/01 (16:55:46) | INFO: Logger set to INFO
2023/10/01 (16:55:46) | INFO: Logger set to DEBUG
2023/10/01 (16:55:47) | INFO: Logger set to INFO

2023/10/01 (20:24:08) | ===> btop++ v.1.2.13
2023/10/01 (20:24:08) | ERROR: Stall in Runner thread, restarting!

2023/11/10 (16:48:55) | ===> btop++ v.1.2.13
2023/11/10 (16:48:55) | ERROR: Stall in Runner thread, restarting!

2023/11/27 (18:41:56) | ===> btop++ v.1.2.13
2023/11/27 (18:41:56) | ERROR: Stall in Runner thread, restarting!

2023/12/03 (12:11:29) | ===> btop++ v.1.2.13
2023/12/03 (12:11:29) | ERROR: Stall in Runner thread, restarting!
